"
Kyle HightowerAssociated PressFoxborough, Mass.",2018-01-05 13:56EST,Football
"
Ivan CouronneAgence France-PresseWashington",2018-01-05 14:19EST,États-Unis
"
Luc BoulangerLa PresseSuivre @lucboulanger2",2018-01-05 14:40EST,Théâtre
"
Laurie KellmanAssociated PressWashington",2018-01-05 14:46EST,États-Unis
"
Associated PressAlameda, Californie",2018-01-05 14:53EST,Football
"
Agence France-PresseLos Angeles",2018-01-05 15:13EST,Insolite
"
Michael Balsamo, Lindsey BahrAssociated PressLOS ANGELES",2018-01-05 15:18EST,Cinéma
"
Agence France-PresseNew York",2018-01-05 15:24EST,Énergie et ressources
"
Agence France-PresseWashington",2018-01-05 15:50EST,États-Unis
"
La Presse Canadienne",2018-01-05 16:13EST,Commerce de détail
"
La Presse Canadienne",2018-01-05 16:38EST,National
"
La Presse Canadienne",2018-01-05 16:42EST,Politique canadienne
"
La Presse Canadienne",2018-01-05 17:17EST,Environnement
"
La Presse Canadienne",2018-01-05 17:48EST,Politique canadienne
"
Associated PressNew York",2018-01-05 18:04EST,Hockey
"
La Presse Canadienne",2018-01-05 18:03EST,Politique canadienne
"
John WawrowAssociated PressBuffalo",2018-01-05 19:07EST,Hockey junior
"
La Presse Canadienne",2018-01-05 19:14EST,Faits divers
"
Joshua ClippertonLa Presse Canadienne",2018-01-05 19:43EST,Hockey
"
La Presse Canadienne",2018-01-05 20:41EST,Faits divers
"
Associated Press",2018-01-05 21:30EST,Moyen-Orient
"
Associated Press",2018-01-05 21:48EST,États-Unis
"
La Presse CanadienneBuffalo",2018-01-05 22:24EST,Hockey junior
"
La Presse Canadienne",2018-01-05 22:53EST,Basketball
"
Mathias BrunetSuivre @mathiasbrunet",2018-01-05 10:11EST,Mathias Brunet
"
Richard HétuSuivre @richardhetu",2018-01-05 13:14EST,International
"
Richard HétuSuivre @richardhetu",2018-01-05 08:07EST,International
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-06 00:00EST,Faits divers
"
Marc-André LussierLa Presse",2018-01-06 08:00EST,Cinéma québécois
"
Marie-Andrée AmiotLa Presse",2018-01-06 08:00EST,Maisons de luxe
"
Stéphanie MorinLa Presse",2018-01-06 08:00EST,Canada
"
Nadielle KutluCollaboration spécialeLa PresseSuivre @nadiel",2018-01-06 08:00EST,Cuisine
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-06 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Paul JournetLa PresseSuivre @PaulJournet",2018-01-06 05:00EST,Paul Journet
"
Alain DubucLa Presse",2018-01-06 05:00EST,Alain Dubuc
