"
Marie-Claude MalboeufLa PresseSuivre @mcmalboeuf",2018-01-06 05:00EST,Faits divers
"
Hélène BarilLa Presse",2018-01-06 05:00EST,Économie
"
Tristan PéloquinLa PresseSuivre @TristanPeloquin",2018-01-06 05:00EST,Grand Montréal
"
La Presse Canadienne",2018-01-06 00:02EST,Médias
"
Agence France-Presse",2018-01-06 00:24EST,Olympisme
"
La Presse CanadienneQuébec",2018-01-06 07:34EST,Faits divers
"
Agence France-PresseNew York",2018-01-06 07:38EST,Actualités
"
La Presse Canadienne",2018-01-06 07:42EST,Faits divers
"
La Presse Canadienne",2018-01-06 07:45EST,Santé
"
Associated PressNew York",2018-01-06 07:48EST,États-Unis
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-06 08:02EST,Actualités
"
Jeiel Onel MézilLa Presse",2018-01-06 08:06EST,Jeux vidéo
"
Agence France-PresseBerlin",2018-01-06 08:12EST,Europe
"
Agence France-PresseTéhéran",2018-01-06 08:18EST,Moyen-Orient
"
Agence France-PresseCaracas",2018-01-06 08:23EST,Amérique latine
"
Daniel BOSQUE, Michaela CANCELA-KIEFFERAgence France-PresseBarcelone",2018-01-06 08:26EST,Europe
"
Agence France-PresseSan Francisco",2018-01-06 08:34EST,Réseaux sociaux
"
Paul HANDLEYAgence France-PresseWashington",2018-01-06 08:42EST,États-Unis
"
Leo MourenAgence France-PresseWashington",2018-01-06 08:54EST,États-Unis
"
Agence France-PresseBarcelone",2018-01-06 09:14EST,Soccer
"
Agence France-PresseRome",2018-01-06 09:24EST,Insolite
"
Agence France-PresseSHENZHEN",2018-01-06 09:31EST,Tennis
"
Agence France-PresseLa Havane",2018-01-06 09:38EST,Caraïbes
"
Agence France-PresseBRISBANE",2018-01-06 09:36EST,Tennis
"
Agence France-PresseBeyrouth",2018-01-06 09:41EST,Guerre civile en Syrie
"
La Presse CanadienneVAL DI FIEMME, Italie",2018-01-06 10:26EST,Ski de fond
"
La Presse Canadienne",2018-01-06 11:00EST,Actualités
"
Alexis Bélanger-ChampagneLa Presse CanadienneBROSSARD",2018-01-06 11:32EST,Hockey
"
Agence France-PresseAmman",2018-01-06 11:50EST,Moyen-Orient
"
La Presse Canadienne",2018-01-06 11:57EST,Faits divers
"
Agence France-PresseParis",2018-01-06 12:13EST,Europe
"
La Presse CanadienneCALGARY",2018-01-06 12:59EST,Patinage de vitesse
"
Giuseppe ValianteLa Presse Canadienne",2018-01-06 13:09EST,Grand Montréal
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-01-06 13:19EST,Actualités
"
Vicky Fragasso-MarquisLa Presse Canadienne",2018-01-06 13:42EST,Éducation
"
Agence France-PresseCamp David",2018-01-06 13:47EST,Asie & Océanie
"
Agence France-PresseCamp David",2018-01-06 13:54EST,États-Unis
"
La Presse CanadienneTORONTO",2018-01-06 14:14EST,Faits divers
"
La Presse Canadienne",2018-01-06 14:47EST,Hockey
"
Associated PressCLEVELAND",2018-01-06 14:57EST,Football
"
Agence France-PresseNEW YORK",2018-01-06 15:23EST,Arts visuels
"
Associated PressWASHINGTON",2018-01-06 16:01EST,Astronomie et espace
"
La Presse Canadienne",2018-01-06 16:12EST,Politique canadienne
"
La Presse CanadienneCALGARY",2018-01-06 16:37EST,Ski acrobatique
"
Julie WatsonAssociated PressSAN DIEGO",2018-01-06 16:57EST,Nouvelles
"
Agence France-Presse",2018-01-06 17:33EST,Asie & Océanie
"
Mike CranstonAssociated PressPHILADELPHIE",2018-01-06 17:46EST,Hockey
"
La Presse Canadienne",2018-01-06 19:08EST,Grand Montréal
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-06 19:30EST,Faits divers
"
Dave SkrettaAssociated PressKansas City",2018-01-06 20:44EST,Football
"
Agence France-Presse",2018-01-06 21:32EST,Afrique
"
La Presse Canadienne",2018-01-06 21:35EST,Grand Montréal
"
Agence France-Presse",2018-01-06 22:30EST,Amérique latine
"
Associated Press",2018-01-06 22:21EST,Hockey
"
La Presse Canadienne",2018-01-06 22:23EST,Hockey
"
Le Soleil",2018-01-06 23:30EST,Faits divers
"
Julien GIRAULTAgence France-PressePékin",2018-01-06 23:49EST,Asie & Océanie
"
Richard HétuSuivre @richardhetu",2018-01-06 08:39EST,International
"
Paul JournetLa PresseSuivre @PaulJournet",2018-01-07 05:00EST,Paul Journet
"
Luc BoulangerLa PresseSuivre @lucboulanger2",2018-01-07 08:00EST,Golden Globes
"
Stéphanie MorinLa Presse",2018-01-07 08:00EST,États-Unis
"
Stéphanie MorinLa Presse",2018-01-07 08:00EST,États-Unis
"
Muriel FrançoiseCollaboration spécialeLa PresseSuivre @menues_choses",2018-01-07 08:00EST,Design
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-07 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-01-07 05:00EST,Actualités
"
Isabelle HacheyLa Presse",2018-01-07 05:00EST,Asie & Océanie
"
Agence France-PresseSéoul",2018-01-07 00:16EST,Olympisme
"
Jeiel Onel MézilLa Presse",2018-01-07 05:00EST,Santé
"
Marie-Pierre FEREY, Lucie PEYTERMANNAgence France-PresseParis",2018-01-07 07:10EST,Musique
"
Greg BeachamAssociated PressLos Angeles",2018-01-07 07:18EST,Football
"
La Presse CanadienneLongueuil",2018-01-07 07:26EST,Faits divers
"
",2018-01-07 07:31EST,Actualités
"
La Presse Canadienne",2018-01-07 07:37EST,Grand Montréal
"
Charles-Éric Blais-PoulinLa Presse",2018-01-07 07:46EST,Musique
"
Marie-Claude LortieLa PresseSuivre @mclortie",2018-01-07 07:55EST,Personnalité de la semaine
"
Agence France-PresseParis",2018-01-07 08:00EST,Europe
"
Agence France-PresseMadrid",2018-01-07 08:09EST,Europe
"
Agence France-PresseSydney",2018-01-07 08:15EST,Asie & Océanie
"
La Presse Canadienne",2018-01-07 08:18EST,Québec
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-01-07 08:26EST,Hockey
"
Agence France-PresseJérusalem",2018-01-07 08:26EST,Découvertes
"
Agence France-PresseBeyrouth",2018-01-07 08:31EST,Le groupe État islamique
"
Yacine LE FORESTIERAgence France-PresseBerlin",2018-01-07 08:40EST,Europe
"
Heather SCOTTAgence France-PresseWASHINGTON",2018-01-07 08:41EST,États-Unis
"
Agence France-PresseSydney",2018-01-07 08:45EST,Asie & Océanie
"
Amelie BARONAgence France-PressePort-au-Prince",2018-01-07 08:50EST,Caraïbes
"
La Presse CanadienneVAL DI FIEMME, Italie",2018-01-07 09:09EST,Ski de fond
"
Agence France-PresseLondres",2018-01-07 09:55EST,Insolite
"
La Presse",2018-01-07 10:31EST,Musique
"
Vicky Fragasso-MarquisLa Presse Canadienne",2018-01-07 10:54EST,Politique québécoise
"
Cyril JulienAgence France-PresseWashington",2018-01-07 10:58EST,États-Unis
"
Agence France-PresseLe Caire",2018-01-07 11:06EST,Égypte
"
Agence France-PresseWashington",2018-01-07 12:02EST,Asie & Océanie
"
Agence France-PresseWashington",2018-01-07 12:45EST,Moyen-Orient
"
Kristy KirkupLa Presse CanadienneOttawa",2018-01-07 13:20EST,Politique canadienne
"
La Presse CanadienneOttawa",2018-01-07 13:31EST,National
"
Agence France-PresseLAUSANNE",2018-01-07 13:34EST,Olympisme
"
La Presse CanadienneHAMILTON",2018-01-07 13:42EST,Football
"
Agence France-Presse",2018-01-07 14:15EST,États-Unis
"
Agence France-PresseLONDRES",2018-01-07 14:20EST,Soccer
"
Veronique DUPONTAgence France-PresseLOS ANGELES",2018-01-07 14:35EST,Golden Globes
"
Agence France-Presse",2018-01-07 14:43EST,Moyen-Orient
"
Agence France-PresseWASHINGTON",2018-01-07 15:35EST,Internet
"
La Presse Canadienne",2018-01-07 16:02EST,National
"
La Presse Canadienne",2018-01-07 16:29EST,Faits divers
"
La Presse Canadienne",2018-01-07 16:44EST,Justice et faits divers
"
Guillaume LefrançoisLa PresseSuivre @glefrancoislp",2018-01-07 17:03EST,Hockey
"
Mark LongAssociated PressJacksonville",2018-01-07 17:07EST,Football
"
Agence France-Presse",2018-01-07 17:43EST,Livres
"
Associated PressNew York",2018-01-07 17:41EST,Hockey
"
Mike CranstonAssociated PressPhiladelphie",2018-01-07 17:49EST,Hockey
"
Agence France-PresseWashington",2018-01-07 18:12EST,États-Unis
"
Agence France-PresseParis",2018-01-07 18:15EST,Soccer
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-01-07 18:30EST,Hockey
"
Associated PressChicago",2018-01-07 18:34EST,Hockey
"
Darrin BaumingLa Presse CanadienneWinnipeg",2018-01-07 18:39EST,Hockey
"
Agence France-PresseLondres",2018-01-07 19:08EST,Europe
"
Benjamin StandigAssociated PressWashington",2018-01-07 19:15EST,Hockey
"
Agence France-Presse",2018-01-07 20:16EST,Astronomie et espace
"
Associated PressLa Nouvelle-Orléans",2018-01-07 21:05EST,Football
"
La Presse CanadienneHollywood",2018-01-07 21:06EST,Télévision
"
Robert DenhardAssociated PressColumbus",2018-01-07 21:43EST,Hockey
"
Alexis Bélanger-ChampagneLa Presse CanadienneMontréal",2018-01-07 22:00EST,Hockey
"
Larry LageAssociated PressDetroit",2018-01-07 22:32EST,Hockey
"
Associated PressPittsburgh",2018-01-07 23:28EST,Hockey
"
Agence France-PresseLos Angeles",2018-01-07 23:50EST,Golden Globes
"
Richard HétuSuivre @richardhetu",2018-01-07 16:54EST,International
"
Richard HétuSuivre @richardhetu",2018-01-07 11:56EST,International
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-08 00:00EST,Le clin d'oeil de Stéphane Laporte
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-08 05:00EST,Grand Montréal
"
Marissa GroguhéLa Presse",2018-01-08 05:00EST,Politique canadienne
"
Alexandre SiroisLa PresseSuivre @alexandresirois",2018-01-08 05:00EST,Alexandre Sirois
"
Mario GirardLa Presse",2018-01-08 05:00EST,Mario Girard
"
Marie-Eve MorasseLa Presse",2018-01-08 05:00EST,Éducation
"
La Presse Canadienne",2018-01-08 06:29EST,Médias
"
Hwang SungheeAgence France-PresseSéoul",2018-01-08 06:48EST,Asie & Océanie
"
Stéphanie BérubéLa Presse",2018-01-08 07:03EST,Agroalimentaire
"
Stéphanie BérubéLa Presse",2018-01-08 07:21EST,Agroalimentaire
"
Tony GAMAL-GABRIELAgence France-PresseBeyrouth",2018-01-08 07:33EST,Guerre civile en Syrie
"
La Presse Canadienne",2018-01-08 07:46EST,Procès
"
Agence France-PresseNew York",2018-01-08 07:49EST,Mobilité
"
Agence France-PresseRiyad",2018-01-08 08:04EST,Moyen-Orient
"
Laurence BENHAMOUAgence France-PressePékin",2018-01-08 08:12EST,Asie & Océanie
"
Agence France-PressePékin",2018-01-08 08:21EST,Asie & Océanie
"
Jeiel Onel MézilLa Presse",2018-01-08 08:28EST,Santé
"
Agence France-PresseNEW YORK",2018-01-08 08:32EST,États-Unis
"
La Presse",2018-01-08 08:44EST,Musique
"
Thomas URBAINAgence France-PresseNew York",2018-01-08 08:54EST,États-Unis
"
",2018-01-08 09:12EST,Marchés
"
Agence France-PresseCITÉ DU VATICAN",2018-01-08 09:17EST,Europe
"
Véronique LauzonLa PresseSuivre @veroniquelauzon",2018-01-08 09:21EST,Télévision
"
André DuchesneLa Presse",2018-01-08 09:31EST,Nouvelles
"
",2018-01-08 09:28EST,Alimentation
"
Alexis Bélanger-ChampagneLa Presse Canadienne",2018-01-08 09:45EST,Hockey
"
La Presse Canadienne",2018-01-08 09:50EST,Procès
"
Catherine SchlagerLa PresseSuivre @Cath_Schlager",2018-01-08 09:51EST,Bons plans
"
Associated PressMelbourne, Australie",2018-01-08 09:50EST,Tennis
"
Marissa GroguhéLa Presse",2018-01-08 09:54EST,Grand Montréal
"
Agence France-PresseMelbourne, Australie",2018-01-08 09:54EST,Tennis
"
Tales AzzoniAssociated Press",2018-01-08 10:00EST,Soccer
"
Nathalie CôtéCollaboration spécialeLa Presse",2018-01-08 10:07EST,Finances personnelles
"
Agence France-PresseParis",2018-01-08 10:08EST,Tennis
"
Emmanuelle Mozayan-VerschaeveCollaboration spécialeLa PresseSuivre @ecritsur",2018-01-08 10:14EST,Aménagement
"
Agence France-PresseParis",2018-01-08 10:13EST,Tennis
"
Stéphanie GrammondLa PresseSuivre @sgrammond",2018-01-08 10:19EST,Finances personnelles
"
Cyril JULIENAgence France-PresseWashington",2018-01-08 10:12EST,États-Unis
"
Agence France-Presse",2018-01-08 10:28EST,Médecine
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-08 10:32EST,Grand Montréal
"
Karyne Duplessis PichéCollaboration spécialeLa Presse",2018-01-08 10:36EST,Actualités
"
Julie CHARPENTRATAgence France-PresseLas Vegas",2018-01-08 10:34EST,Techno
"
Jean-Christophe LaurenceLa Presse",2018-01-08 10:43EST,Gourmand
"
La Presse Canadienne",2018-01-08 10:49EST,Faits divers
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-08 08:32EST,Procès
"
Agence France-PresseNew York",2018-01-08 10:52EST,Musique
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-01-08 10:58EST,Télévision
"
Agence France-PresseLas Vegas",2018-01-08 10:46EST,Techno
"
Véronique LauzonLa Presse",2018-01-08 11:03EST,Télévision
"
Agence France-PresseParis",2018-01-08 11:06EST,Consommation
"
Agence France-PresseMOSCOU",2018-01-08 11:17EST,Guerre civile en Syrie
"
Julien ArsenaultLa Presse CanadienneMontréal",2018-01-08 11:16EST,Québec
"
Eric WillemsenAssociated Press",2018-01-08 11:16EST,Ski alpin
"
Eric BernaudeauAgence France-PresseLausanne, Suisse",2018-01-08 11:20EST,Olympisme
"
Siavosh GHAZIAgence France-PresseTÉHÉRAN",2018-01-08 11:33EST,Moyen-Orient
"
André DuchesneLa Presse",2018-01-08 11:49EST,Nouvelles
"
La Presse",2018-01-08 11:57EST,Têtes d'affiche
"
Agence France-PresseWASHINGTON",2018-01-08 11:56EST,États-Unis
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-08 12:03EST,Grand Montréal
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-01-08 12:14EST,Commerce de détail
"
Agence France-PresseWASHINGTON",2018-01-08 12:21EST,États-Unis
"
Lia LévesqueLa Presse CanadienneMontréal",2018-01-08 12:19EST,Québec
"
Associated PressFoxborough, Mass.",2018-01-08 12:28EST,Football
"
Agence France-PresseLE CAIRE",2018-01-08 12:41EST,Afrique
"
Agence France-PresseWashington",2018-01-08 12:39EST,États-Unis
"
La Presse CanadienneNew York",2018-01-08 12:55EST,Hockey
"
Andrew SeligmanAssociated PressLake Forest, Ill.",2018-01-08 12:58EST,Football
"
Véronique LauzonLa PresseSuivre @veroniquelauzon",2018-01-08 13:15EST,Arts visuels
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-01-08 13:27EST,Télévision
"
Mylène CrêteLa Presse CanadienneOTTAWA",2018-01-08 13:29EST,Canada
"
",2018-01-08 13:39EST,Style de vie
"
La Presse Canadienne",2018-01-08 13:48EST,Football
"
Associated PressColumbus, Ohio",2018-01-08 13:52EST,Hockey
"
Philippe Teisceira-LessardLa PresseSuivre @Philippetei",2018-01-08 13:40EST,Faits divers
"
André DuchesneLa Presse",2018-01-08 14:03EST,Cinéma québécois
"
Agence France-PressePARIS",2018-01-08 14:08EST,Arts visuels
"
Agence France-PresseSTOCKHOLM",2018-01-08 14:14EST,Mode
"
Ross MarowitsLa Presse Canadienne",2018-01-08 14:13EST,Immobilier
"
Michel MaroisLa PresseSuivre @michelmarois",2018-01-08 14:20EST,Tennis
"
Marc-André LussierLa PresseSuivre @malussier",2018-01-08 14:26EST,Nouvelles
"
La Presse CanadienneVANCOUVER",2018-01-08 14:23EST,Agroalimentaire
"
La Presse CanadienneAuckland, Nouvelle-Zélande",2018-01-08 14:35EST,Tennis
"
Le Soleil",2018-01-08 14:38EST,Actualités
"
Richard TherrienLe SoleilSuivre @zaptele",2018-01-08 15:11EST,Télévision
"
La Presse CanadienneJulien Arsenault",2018-01-08 15:14EST,Transports
"
Agence France-PresseNEW YORK",2018-01-08 15:29EST,Énergie et ressources
"
Agence France-PresseParis",2018-01-08 15:33EST,Hommes
"
Edouard GUIHAIREAgence France-PresseLondres",2018-01-08 15:37EST,Mode
"
Marissa GroguhéLa Presse",2018-01-08 15:56EST,Télévision
"
La Presse Canadienne",2018-01-08 15:55EST,Santé
"
Agence France-PresseWASHINGTON",2018-01-08 15:51EST,États-Unis
"
Marissa GroguhéLa Presse",2018-01-08 16:06EST,Livres
"
Glenda KWEKAgence France-PresseCAROOL",2018-01-08 16:08EST,Asie & Océanie
"
La Presse CanadienneMONTRÉAL",2018-01-08 16:15EST,Nouvelles
"
La Presse Canadienne",2018-01-08 16:20EST,Politique canadienne
"
La Presse CanadienneVANCOUVER",2018-01-08 16:19EST,Entreprises
"
Steve ReedAssociated PressCharlotte, Caroline du Nord",2018-01-08 16:22EST,Football
"
La Presse Canadienne",2018-01-08 17:03EST,Faits divers
"
Joanna SmithLa Presse CanadienneOttawa",2018-01-08 17:53EST,Politique canadienne
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-08 17:55EST,Politique québécoise
"
Nathalie ALONSOAgence France-PresseParis",2018-01-08 18:00EST,Techno
"
Jay CohenAssociated PressChicago",2018-01-08 18:05EST,Hockey
"
Agence France-PressePasadena",2018-01-08 18:10EST,Cinéma
"
Agence France-Presse",2018-01-08 18:10EST,National
"
La Presse",2018-01-08 18:19EST,Humour et variétés
"
Agence France-PresseWashington",2018-01-08 18:35EST,États-Unis
"
Agence France-Presse",2018-01-08 18:46EST,Actualités
"
La Presse Canadienne",2018-01-08 18:52EST,Golf
"
La Presse Canadienne",2018-01-08 18:54EST,Économie
"
Agence France-PresseRome",2018-01-08 18:56EST,Crise migratoire
"
Associated Press",2018-01-08 19:05EST,États-Unis
"
Marissa GroguhéLa Presse",2018-01-08 19:09EST,Grand Montréal
"
La Presse Canadienne",2018-01-08 20:00EST,Environnement
"
Agence France-Presse",2018-01-08 20:29EST,Économie
"
La Presse Canadienne",2018-01-08 20:55EST,Environnement
"
Neil DavidsonLa Presse CanadienneToronto",2018-01-08 21:05EST,Soccer
"
Hwang SungheeAgence France-PresseSéoul",2018-01-08 21:30EST,La menace nord-coréenne
"
La Presse CanadienneMontréal",2018-01-08 21:39EST,Actualités
"
Agence France-PresseLos Angeles",2018-01-08 22:00EST,États-Unis
"
Agence France-PresseAtlanta",2018-01-08 22:10EST,États-Unis
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-08 05:00EST,Affaires criminelles
"
Kyle CicerellaLa Presse CanadienneToronto",2018-01-08 23:05EST,Hockey
"
Associated PressNew York",2018-01-08 23:34EST,Basketball
"
Agence France-PresseTokyo",2018-01-08 23:37EST,Asie & Océanie
"
Richard HétuSuivre @richardhetu",2018-01-08 17:53EST,International
"
Richard HétuSuivre @richardhetu",2018-01-08 11:11EST,International
"
Richard HétuSuivre @richardhetu",2018-01-08 07:27EST,International
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-09 00:00EST,Le clin d'oeil de Stéphane Laporte
"
Joël-Denis BellavanceLa Presse",2018-01-09 00:00EST,Politique canadienne
"
Denis LessardLa PresseSuivre @denis_lessard",2018-01-09 05:00EST,Politique québécoise
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-09 05:00EST,Grand Montréal
"
Alexandre SiroisLa PresseSuivre @alexandresirois",2018-01-09 05:00EST,Alexandre Sirois
"
Stéphanie GrammondLa PresseSuivre @sgrammond",2018-01-09 05:00EST,Stéphanie Grammond
"
Agence France-PresseSéoul",2018-01-09 06:19EST,La menace nord-coréenne
"
Hwang SungheeAgence France-PresseSéoul",2018-01-09 06:26EST,La menace nord-coréenne
"
Tony Gamal-GabrielAgence France-PresseBeyrouth",2018-01-09 06:38EST,Moyen-Orient
"
La Presse Canadienne",2018-01-09 06:41EST,Faits divers
"
Agence France-PressePékin",2018-01-09 06:47EST,Asie & Océanie
"
La Presse Canadienne",2018-01-09 06:51EST,Faits divers
"
Agence France-PresseRome",2018-01-09 06:56EST,Europe
"
Hélène BarilLa Presse",2018-01-09 07:06EST,Canada
"
Jean-Philippe DécarieLa Presse",2018-01-09 07:13EST,Grande entrevue
"
Agence France-PresseGenève",2018-01-09 07:19EST,Europe
"
Pauline FROISSARTAgence France-PresseLondres",2018-01-09 07:34EST,Europe
"
Karim BenessaiehLa PresseSuivre @karimbai",2018-01-09 07:40EST,Économie
"
Jean-François CodèreLa PresseSuivre @jfcodere",2018-01-09 07:47EST,Automobile
"
Caroline TouzinLa PresseSuivre @ctouzin",2018-01-09 07:59EST,Actualités judiciaires
"
AFP-PC",2018-01-09 08:07EST,Marchés
"
Philippe MercureLa PresseSuivre @philmercure",2018-01-09 08:15EST,Médecine
"
La Presse CanadienneToronto",2018-01-09 08:13EST,Économie
"
Agence France-PresseTÉHÉRAN",2018-01-09 08:34EST,Moyen-Orient
"
Agence France-PresseManille",2018-01-09 08:41EST,Asie & Océanie
"
Agence France-Presse",2018-01-09 08:58EST,Insolite
"
Agence France-PresseLe Caire",2018-01-09 09:05EST,Le groupe État islamique
"
Émilie CôtéLa PresseSuivre @emicote",2018-01-09 09:15EST,Musique
"
Associated PressLondres",2018-01-09 09:14EST,International
